"articulo_wikipedia","link_completo","links"
"Pedro Vásquez Colmenares Guzmán","http://2010.colmex.mx/16tomos/XIII.pdf ","http://2010.colmex.mx/16tomos/XIII.pdf "
"Lola la trailera","http://2010.colmex.mx/16tomos/XVI.pdf ","http://2010.colmex.mx/16tomos/XVI.pdf "
"Gustavo Garza Villarreal","http://2010.colmex.mx/tomos2.html ","http://2010.colmex.mx/tomos2.html "
"Juan Andreu Almazán","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/7GJMDT17KB6NEGMXHDDEIPUVEU34GU.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/7GJMDT17KB6NEGMXHDDEIPUVEU34GU.pdf "
"Garcineida","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/92V85CBSTESLD3DTSA64SQKD446ILM.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/92V85CBSTESLD3DTSA64SQKD446ILM.pdf "
"Banco Nacional de México","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/AALKGN8EL4I64LPPCXAIQS7C8J3RP6.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/AALKGN8EL4I64LPPCXAIQS7C8J3RP6.pdf "
"Primaleón","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Discusión:Garcineida","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/92V85CBSTESLD3DTSA64SQKD446ILM.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/92V85CBSTESLD3DTSA64SQKD446ILM.pdf "
"Discusión:Juan Andreu Almazán","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/7GJMDT17KB6NEGMXHDDEIPUVEU34GU.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/7GJMDT17KB6NEGMXHDDEIPUVEU34GU.pdf "
"Discusión:Martín Tritschler y Córdova","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/J5CMMTXGH6F2YNEPB2J32FMJ2CLPIF.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/J5CMMTXGH6F2YNEPB2J32FMJ2CLPIF.pdf "
"Discusión:Primaleón","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Discusión:Banco Nacional de México","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/AALKGN8EL4I64LPPCXAIQS7C8J3RP6.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/AALKGN8EL4I64LPPCXAIQS7C8J3RP6.pdf "
"Discusión:Patagonia","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Patagonia","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/D2NGUE8D3NX79514PQIS6598LNS4EI.pdf "
"Central de Trabajadores de la Argentina","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/YEPXPPCK1RXKDYCVE1VIMJP78PD9JS.pdf ","http://biblio-codex.colmex.mx/exlibris/aleph/a21_1/apache_media/YEPXPPCK1RXKDYCVE1VIMJP78PD9JS.pdf "
"El Colegio de México","http://biblio.colmex.mx/ ","http://biblio.colmex.mx/ "
"Biblioteca Daniel Cosío Villegas","http://biblio.colmex.mx/coordserv/s_interb.htm ","http://biblio.colmex.mx/coordserv/s_interb.htm "
"Usuario discusión:Billyrobshaw/Archivo 8","http://biblio.colmex.mx/diglibrary/normas_estilo/normgrales.html ","http://biblio.colmex.mx/diglibrary/normas_estilo/normgrales.html "
"Ario Garza Mercado","http://biblio.colmex.mx/tesisBDCV/GonzalezEsquivel.pdf ","http://biblio.colmex.mx/tesisBDCV/GonzalezEsquivel.pdf "
"Christopher Chase-Dunn","http://biblio.colmex.mx/web2000/socio-h.htm ","http://biblio.colmex.mx/web2000/socio-h.htm "
"Nahuatlismo","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm ","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm "
"Acuayte","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm ","http://biblio2.colmex.mx/bibdig/aztequismos/base1.htm "
"Culiacán","http://biblio2.colmex.mx/bibdig/aztequismos1/base1.htm ","http://biblio2.colmex.mx/bibdig/aztequismos1/base1.htm "
"Cristóbal Guadalajara","http://biblio2.colmex.mx/bibdig/dicc_cubas/base3.htm ","http://biblio2.colmex.mx/bibdig/dicc_cubas/base3.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1889_1936/base2.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm "
"Conferencia de Río de 1942","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_1_suplemento_1938_1942/base2.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm ","http://biblio2.colmex.mx/coinam/coinam_2_suplemento_1945_1954/base2.htm "
"Conferencias Panamericanas","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm ","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm "
"Unión Panamericana","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm ","http://biblio2.colmex.mx/coinam/copa_1889_1938/base1.htm "
"Crónica mexicana","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx/ "
"Códice Ramírez","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx/ "
"Usuario:MLquiroa","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx "
"El Colegio de México","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx/ "
"Wikipedia:Encuentros/Editatón Louis Pouzin, tercer inventor de internet","http://biblioteca.colmex.mx/%7C ","http://biblioteca.colmex.mx/%7C "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx","http://biblioteca.colmex.mx// "
"Wikipedia:Café/Archivo/2010/Julio","http://biblioteca.colmex.mx/content/view/33706/445/ ","http://biblioteca.colmex.mx/content/view/33706/445/ "
"Wikipedia:Café/Portal/Archivo/Políticas/2010/07","http://biblioteca.colmex.mx/content/view/33706/445/ ","http://biblioteca.colmex.mx/content/view/33706/445/ "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/directorio?limitstart=0 ","http://biblioteca.colmex.mx/index.php/directorio?limitstart=0 "
"El Colegio de México","http://biblioteca.colmex.mx/index.php/informacion-general ","http://biblioteca.colmex.mx/index.php/informacion-general "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/informacion-general ","http://biblioteca.colmex.mx/index.php/informacion-general "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/nuestras-colecciones ","http://biblioteca.colmex.mx/index.php/nuestras-colecciones "
"Biblioteca Daniel Cosío Villegas","http://biblioteca.colmex.mx/index.php/servicios ","http://biblioteca.colmex.mx/index.php/servicios "
"Directory of Open Access Journals","http://biblioteca.colmex.mx/revistas/ ","http://biblioteca.colmex.mx/revistas/ "
"Ana María Barrenechea","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 ","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 "
"Nueva Revista de Filología Hispánica","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 ","http://biblioteca.colmex.mx/revistas/index.php?option=com_content&view=article&id=33&Itemid=80 "
"Usuario discusión:ROLODO9821","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=2&doc_number=000092985&set_no=001819&set_entry=1&no_records=2&busqueda=%3Cstrong%3E%20Henderson%20Peter%20V.N.%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Henderson%20Peter%20V.N.&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= ","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=2&doc_number=000092985&set_no=001819&set_entry=1&no_records=2&busqueda=%3Cstrong%3E%20Henderson%20Peter%20V.N.%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Henderson%20Peter%20V.N.&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= "
"Mario Bronfman","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= ","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= "
"Discusión:Mario Bronfman","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= ","http://biblioteca.colmex.mx/revistas/xserver/find-doc.php?num_reg=4&doc_number=000579732&set_no=033933&set_entry=1&no_records=6&busqueda=%3Cstrong%3E%20Bronfman%20Mario%3C/strong%3E%20por%20%3Cstrong%3Eautor%3C/strong%3E%20en%20%3Cstrong%3Etodas%20las%20revistas%3C/strong%3E&request=%20Bronfman%20Mario&find_code=wau&filter_request_1=&filter_request_2=&filter_request_3= "
"Brígida García Guzmán","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau ","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau "
"Discusión:Brígida García Guzmán","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau ","http://biblioteca.colmex.mx/revistas/xserver/index.php?request=%20Garc%C3%ADa%20Guzm%C3%A1n%20Br%C3%ADgida&find_code=wau "
"Clara Lida","http://catedramex-esp.colmex.mx/ ","http://catedramex-esp.colmex.mx/ "
"Clara Lida","http://catedramex-esp.colmex.mx/index.php/7-clara-e-lida ","http://catedramex-esp.colmex.mx/index.php/7-clara-e-lida "
"Japonología","http://ceaa.colmex.mx/ ","http://ceaa.colmex.mx/ "
"Usuario discusión:Freresdeshommes-France","http://ceaa.colmex.mx/ ","http://ceaa.colmex.mx/ "
"Saurabh Dube","http://ceaa.colmex.mx/12-planta-docente-y-de-investigacion/35-ishita-banerjee-dube ","http://ceaa.colmex.mx/12-planta-docente-y-de-investigacion/35-ishita-banerjee-dube "
"Ghana","http://ceaa.colmex.mx/aladaa/XII%20CONGRESO%20INTERNACIONAL%20DE%20ALADAA/varelahilda.pdf ","http://ceaa.colmex.mx/aladaa/XII%20CONGRESO%20INTERNACIONAL%20DE%20ALADAA/varelahilda.pdf "
"Acapulco de Juárez","http://ceaa.colmex.mx/aladaa/imagesmemoria/andresdelcastillo.pdf ","http://ceaa.colmex.mx/aladaa/imagesmemoria/andresdelcastillo.pdf "
"Inmigración coreana en Argentina","http://ceaa.colmex.mx/aladaa/imagesmemoria/carolinamera.pdf ","http://ceaa.colmex.mx/aladaa/imagesmemoria/carolinamera.pdf "
"Ciudad-Estado","http://ceaa.colmex.mx/aladaa/imagesmemoria/mesopotamiawalburga.pdf ","http://ceaa.colmex.mx/aladaa/imagesmemoria/mesopotamiawalburga.pdf "
"Inmigración asiática en Argentina","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/trincheri.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/trincheri.pdf "
"Usuario discusión:Freresdeshommes-France","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/martinez_jimena.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/martinez_jimena.pdf "
"Usuario:2x2leax/Taller","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/onaha_losjaponeses.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/onaha_losjaponeses.pdf "
"Café El Japonés","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/uehara.pdf ","http://ceaa.colmex.mx/aladaa/memoria_xiii_congreso_internacional/images/uehara.pdf "
"Pequeño Seúl","http://ceaa.colmex.mx/estudioscoreanos/images/kim.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/kim.pdf "
"Chaebol","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf "
"Daewoo","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/lopez.pdf "
"Inmigración coreana en Argentina","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf "
"Discusión:Inmigración coreana en Argentina","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf ","http://ceaa.colmex.mx/estudioscoreanos/images/mirta.pdf "
"Saurabh Dube","http://ceaa.colmex.mx/profesores/paginadube/dubeindex.htm ","http://ceaa.colmex.mx/profesores/paginadube/dubeindex.htm "
"Urbanismo en México","http://cedua.colmex.mx/ ","http://cedua.colmex.mx/ "
"Centro de Estudios Demográficos, Urbanos y Ambientales","http://cedua.colmex.mx/ ","http://cedua.colmex.mx/ "
"El Colegio de México","http://cedua.colmex.mx/component/content/article/46-lineamientos-para-publicaciones/96-revista ","http://cedua.colmex.mx/component/content/article/46-lineamientos-para-publicaciones/96-revista "
"Carlos Javier Echarri Cánovas","http://cedua.colmex.mx/component/zoo/item/carlos-javier-echarri-canovas.html ","http://cedua.colmex.mx/component/zoo/item/carlos-javier-echarri-canovas.html "
"Manuel Ordorica Mellado","http://cedua.colmex.mx/component/zoo/item/manuel-ordorica-mellado.html ","http://cedua.colmex.mx/component/zoo/item/manuel-ordorica-mellado.html "
"Araceli Damián González","http://cedua.colmex.mx/damian_araceli.html ","http://cedua.colmex.mx/damian_araceli.html "
"Silvia Giorguli Saucedo","http://cedua.colmex.mx/images/PlantaDocente/SilviaGiorguli/CV.pdf ","http://cedua.colmex.mx/images/PlantaDocente/SilviaGiorguli/CV.pdf "
"Brígida García Guzmán","http://cedua.colmex.mx/index.php?option=com_content&view=article&id=92&Itemid=73 ","http://cedua.colmex.mx/index.php?option=com_content&view=article&id=92&Itemid=73 "
"Manuel Ordorica Mellado","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Centro de Estudios Demográficos, Urbanos y Ambientales","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Usuario discusión:NZF/Archivo 5","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Usuario discusión:Aarón/2015","http://cedua.colmex.mx/inicio/historia-del-centro.html ","http://cedua.colmex.mx/inicio/historia-del-centro.html "
"Manuel Ángel Castillo","http://cedua.colmex.mx/publicaciones/estudios-demograficos-y-urbanos%7C ","http://cedua.colmex.mx/publicaciones/estudios-demograficos-y-urbanos%7C "
"Silvia Giorguli Saucedo","http://cedua.colmex.mx/silvia-giorguli-cv.html ","http://cedua.colmex.mx/silvia-giorguli-cv.html "
"Gustavo Garza Villarreal","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/98 ","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/98 "
"Manuel Ángel Castillo","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/90 ","http://cedua.colmex.mx/viejo/index.php/planta-docente-y-de-investigacion/90 "
"El Colegio de México","http://cee.colmex.mx/cee ","http://cee.colmex.mx/cee "
"Juan Vitores de Velasco","http://cee.colmex.mx/documentos/documentos-de-trabajo/2001/dt200110.pdf ","http://cee.colmex.mx/documentos/documentos-de-trabajo/2001/dt200110.pdf "
"Gustavo Díaz Ordaz","http://cee.colmex.mx/documentos/documentos-de-trabajo/2003/dt20033.pdf ","http://cee.colmex.mx/documentos/documentos-de-trabajo/2003/dt20033.pdf "
"Gerardo Esquivel (economista)","http://cee.colmex.mx/gerardo-esquivel ","http://cee.colmex.mx/gerardo-esquivel "
"Gerardo Esquivel (economista)","http://cee.colmex.mx/gerardo-esquivel/publicaciones ","http://cee.colmex.mx/gerardo-esquivel/publicaciones "
"Silvio Zavala","http://ceh.colmex.mx/ ","http://ceh.colmex.mx/ "
"Historia de Yucatán","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf ","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf "
"Discusión:Historia de Yucatán","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf ","http://ceh.colmex.mx/cmch/Tesis-Web/Pdfs/HISTORIA%20REGIONAL%20DE%20YUCATAN.pdf "
"Bernardo García Martínez","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm ","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm "
"Usuario discusión:Sarumo74","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm ","http://ceh.colmex.mx/investigadores/bernardo_garcia_martinez.htm "
"Moisés González Navarro","http://ceh.colmex.mx/investigadores/gonzalez.htm ","http://ceh.colmex.mx/investigadores/gonzalez.htm "
"Elías Trabulse","http://ceh.colmex.mx/investigadores/trabulse.htm ","http://ceh.colmex.mx/investigadores/trabulse.htm "
"Josefina Zoraida Vázquez","http://ceh.colmex.mx/investigadores/vazquez.htm ","http://ceh.colmex.mx/investigadores/vazquez.htm "
"Wikipedia:Café/Portal/Archivo/Políticas/2013/12","http://cell.colmex.mx/ ","http://cell.colmex.mx/ "
"Wikipedia:Café/Archivo/2013/Diciembre","http://cell.colmex.mx/ ","http://cell.colmex.mx/ "
"Liliana Weinberg Marchevsky","http://cell.colmex.mx/ ","http://cell.colmex.mx/ "
"Pedro Martín Butragueño","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno/ "
"Pedro Martín Butragueño","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno","http://cell.colmex.mx/index.php/planta-academica/linguistica/pedromartinbutragueno "
"Aurelio González Pérez","http://cell.colmex.mx/index.php/planta-academica/literatura-hispanica ","http://cell.colmex.mx/index.php/planta-academica/literatura-hispanica "
"Raúl Ávila","http://cell.colmex.mx/index.php/raul-avila ","http://cell.colmex.mx/index.php/raul-avila "
"Discusión:Alejandro Nadal","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html ","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html "
"Alejandro Nadal","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html ","http://centros.colmex.mx/cee/index.php/planta/105-alejandro-nadal.html "
"Roberto Blancarte","http://ces.colmex.mx/ ","http://ces.colmex.mx/ "
"Wikipedia:Artículos solicitados/Solicitudes/Biografías","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Wikipedia:Artículos solicitados/Solicitudes/Sociedad","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Wikipedia:Artículos solicitados","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Wikipedia:Artículos solicitados/Solicitudes/Respaldo","http://ces.colmex.mx/120 ","http://ces.colmex.mx/120 "
"Roberto Blancarte","http://ces.colmex.mx/121 ","http://ces.colmex.mx/121 "
"Gabriela Cano Ortega","http://ces.colmex.mx/125 ","http://ces.colmex.mx/125 "
"Usuaria:Rosymonterrey/Debate Feminista","http://ces.colmex.mx/2/academicos/E_Urrutia.html ","http://ces.colmex.mx/2/academicos/E_Urrutia.html "
"Elena Sánchez Valenzuela","http://ces.colmex.mx/pdfs/gabriela/Las%20mujeres%20en%20el%20M%C3%A9xico%20del%20siglo%20XX.%20Una%20cronolog%C3%ADa%20m%C3%ADninma.pdf ","http://ces.colmex.mx/pdfs/gabriela/Las%20mujeres%20en%20el%20M%C3%A9xico%20del%20siglo%20XX.%20Una%20cronolog%C3%ADa%20m%C3%ADninma.pdf "
"Usuaria:Marikazetari/Taller","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf "
"Amelio Robles Ávila","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_2.pdf "
"Laureana Wright de Kleinhans","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf "
"María Asunción Sandoval","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_8.pdf "
"Elena Arizmendi Mejía","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf "
"Sofía Villa de Buentello","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf "
"Liga Internacional de Mujeres Ibéricas e Hispanoamericanas","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf ","http://ces.colmex.mx/pdfs/gabriela/g_cano_9.pdf "
"El Colegio de México","http://ces.colmex.mx/pdfs/orlandina.pdf ","http://ces.colmex.mx/pdfs/orlandina.pdf "
"Rodolfo Stavenhagen","http://ces.colmex.mx/pdfs/stavensiete.pdf ","http://ces.colmex.mx/pdfs/stavensiete.pdf "
"Ciencias Históricas","http://cmch.colmex.mx/ ","http://cmch.colmex.mx/ "
"Discusión:Español ribereño","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA ","http://codex.colmex.mx:8991/F/?func=service&doc_library=ECM01&doc_number=000570173&line_number=0001&func_code=WEB-BRIEF&service_type=MEDIA "
