"articulo_wikipedia","link_completo","links"
"Retablo","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/T6SNSLQA86IEPN33KD6R5GSQK1LIB5.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/T6SNSLQA86IEPN33KD6R5GSQK1LIB5.pdf "
"Chakán Putum","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Ekab","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Catedral de Puebla","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/LLVHYV5YF4L44PIB7XV4GRNACL2TXE.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/LLVHYV5YF4L44PIB7XV4GRNACL2TXE.pdf "
"Cupules","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Español chileno","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MX4DRQDAGDFB6YI8B1GDUHVH5JIPMC.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MX4DRQDAGDFB6YI8B1GDUHVH5JIPMC.pdf "
"Gran Canal del Desagüe (Ciudad de México)","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5YJ1Q3MQXYHYYK6JLH5DK95LFXLIAF.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5YJ1Q3MQXYHYYK6JLH5DK95LFXLIAF.pdf "
"Historia de Afganistán","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/EM11X4M34VA5DV38GAHRGDIQVALNDI.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/EM11X4M34VA5DV38GAHRGDIQVALNDI.pdf "
"Usuario discusión:Roblespepe/proyectos","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/CQY39DLRPJU6YLL3NM5P7E5BS5R6Q5.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/CQY39DLRPJU6YLL3NM5P7E5BS5R6Q5.pdf "
"Guerrillas en América Latina","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/PLB2U9LGU8U2C6DUUVHNR39SF9K18B.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/PLB2U9LGU8U2C6DUUVHNR39SF9K18B.pdf "
"Ah Kin Chel","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"José Bravo Ugarte","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MFHCXYN6UXTKGV2VD8D16J8F1XAVEK.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MFHCXYN6UXTKGV2VD8D16J8F1XAVEK.pdf "
"Victoriano Salado Álvarez","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/4HNXXUDA9YY7XYVBJ8P9KGBH6YHUM5.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/4HNXXUDA9YY7XYVBJ8P9KGBH6YHUM5.pdf "
"Tutul Xiues","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Alonso García Bravo","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/TRV21YFCT434TN7HLNX6XTUBSEKRLU.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/TRV21YFCT434TN7HLNX6XTUBSEKRLU.pdf "
"José Tiburcio López Constante","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/ECM6EX9VQF3S4PJAVUK6LYTJPKJSME.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/ECM6EX9VQF3S4PJAVUK6LYTJPKJSME.pdf "
"Rafael Reyes Spíndola","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/C15DIYLNEHX97YIG5HE2RHXSP8LJTQ.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/C15DIYLNEHX97YIG5HE2RHXSP8LJTQ.pdf "
"La Orquesta","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/XTJLGJPAE2DEB2V2B35FJYC956P6I9.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/XTJLGJPAE2DEB2V2B35FJYC956P6I9.pdf "
"Poder duro","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5S69YM3G4AJLAPJE3A7LGH9B3J72F9.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5S69YM3G4AJLAPJE3A7LGH9B3J72F9.pdf "
"Frontera entre Estados Unidos y México","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/SG6274V35GK51PIQ1M2EVLFCXH4YU8.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/SG6274V35GK51PIQ1M2EVLFCXH4YU8.pdf "
"Salvador Alvarado Rubio","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/LAY114DSLGH8T7XCNG1286PGJ4NXBD.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/LAY114DSLGH8T7XCNG1286PGJ4NXBD.pdf "
"Domingo Bureau","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/BKGEALYFMMYRBBKXJV5XG3Q7KYCVTL.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/BKGEALYFMMYRBBKXJV5XG3Q7KYCVTL.pdf "
"Benito Aznar","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/JCKS9IHN2MTXXVUC66UEFCKE36888L.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/JCKS9IHN2MTXXVUC66UEFCKE36888L.pdf "
"Ah Canul","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Minestrone","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/CFXXJHYB6CRA78X87S4VUJH6KMBAP3.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/CFXXJHYB6CRA78X87S4VUJH6KMBAP3.pdf "
"Miguel Castellanos Sánchez","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MR28EHDP6IBKUVFTGIPRXAL7S5YC16.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MR28EHDP6IBKUVFTGIPRXAL7S5YC16.pdf "
"La Baliza (Nueva España)","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/E7NQ5FL479MUU55ULBJSCH73GSL9TQ.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/E7NQ5FL479MUU55ULBJSCH73GSL9TQ.pdf "
"Afronegrismo","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/567IEXKCC8Y77CEL92RLULVM67KLVU.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/567IEXKCC8Y77CEL92RLULVM67KLVU.pdf "
"Reproducción social","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/R9JPK3PG7ANSSTY4MUIQ3G5K887HSM.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/R9JPK3PG7ANSSTY4MUIQ3G5K887HSM.pdf "
"Evaristo Madero Elizondo","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/J98K87KJN8R8CVHFLM2PCA7P9GBCBR.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/J98K87KJN8R8CVHFLM2PCA7P9GBCBR.pdf "
"Pedro Escudero de la Rocha","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/JCKS9IHN2MTXXVUC66UEFCKE36888L.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/JCKS9IHN2MTXXVUC66UEFCKE36888L.pdf "
"Batalla de Guaymas","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/PR2QI558RJPTFGESGSJ78U5DXSIEP9.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/PR2QI558RJPTFGESGSJ78U5DXSIEP9.pdf "
"Tases","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Discusión:Virreinato de Nueva España","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5USKY5QV7L6QGPN45LFPDMK5YTYVLJ.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5USKY5QV7L6QGPN45LFPDMK5YTYVLJ.pdf "
"Kaviá","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/L15CJPSGT29H86BHVGFL1J9XILJR2G.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/L15CJPSGT29H86BHVGFL1J9XILJR2G.pdf "
"Pedro Marcial Guerra","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/JCKS9IHN2MTXXVUC66UEFCKE36888L.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/JCKS9IHN2MTXXVUC66UEFCKE36888L.pdf "
"Pedro de Souza","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/ECM6EX9VQF3S4PJAVUK6LYTJPKJSME.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/ECM6EX9VQF3S4PJAVUK6LYTJPKJSME.pdf "
"Chactemal","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/GLH8K44MIDYMR8MR4VY3GP663KC456.pdf "
"Brígida García Guzmán","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5DHB3Q1FDK4IIQFEUIL91R9VRDCRFE.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/5DHB3Q1FDK4IIQFEUIL91R9VRDCRFE.pdf "
"Tratados de Tzucacab","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/N3VTUK75PH1RA83UYNGMMETXXNQBFH.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/N3VTUK75PH1RA83UYNGMMETXXNQBFH.pdf "
"Anexo:Embajadores de España en México","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/A1F1RQDUMUBA6XTJ1G8QKT126AKKUI.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/A1F1RQDUMUBA6XTJ1G8QKT126AKKUI.pdf "
"Esteban de Antuñano","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/IPKEUH3U9GD845N1S89242CI2LE8RT.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/IPKEUH3U9GD845N1S89242CI2LE8RT.pdf "
"Juan de Cañamares","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/A9FPMNBADL78IF99KDFIE9MT834HMX.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/A9FPMNBADL78IF99KDFIE9MT834HMX.pdf "
"Eduard Harkort","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/PVE36AQVH3TKYHHSHGX4U8TFH39IIC.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/PVE36AQVH3TKYHHSHGX4U8TFH39IIC.pdf "
"Seki Sano","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/QABDCV5R2Y8PTHFC9GXK1482DB4BSP.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/QABDCV5R2Y8PTHFC9GXK1482DB4BSP.pdf "
"Controversia de delimitación marítima entre Chile y el Perú","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/6RSKQH9MFF7D2N4YCGV2GGXYI64DYJ.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/6RSKQH9MFF7D2N4YCGV2GGXYI64DYJ.pdf "
"Sociolingüística","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/BHK64XSJFXH3QHQ48X1PBJY18NXLNF.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/BHK64XSJFXH3QHQ48X1PBJY18NXLNF.pdf "
"Liceo Mexicano Japonés","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/88B5F859MKCP12S196BB9XSK8N1UHL.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/88B5F859MKCP12S196BB9XSK8N1UHL.pdf "
"Liturgia hispánica","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/4Q8A3FUSQUAEP22U1H8L278KEKGA5G.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/4Q8A3FUSQUAEP22U1H8L278KEKGA5G.pdf "
"Discusión:República del Río Grande","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/K3Q8BAQ39J727V2UYIFKXCL32HIUFL.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/K3Q8BAQ39J727V2UYIFKXCL32HIUFL.pdf "
"Sor Juana Inés de la Cruz","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MJX2JT68E6NLUVD9V4UKP221XD5F7F.pdf ","http://codex.colmex.mx:8991/exlibris/aleph/a18_1/apache_media/MJX2JT68E6NLUVD9V4UKP221XD5F7F.pdf "
